Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9601,Bluebeard,Kurt Vonnegut,"Vonnegut, Kurt",,"=""038533351X""","=""9780385333511""",4,4.02,Dial Press Trade Paperback,Paperback,318,1998,1987,,2007/11/29,satire,satire (#11),read,,,,,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",5,4.18,Penguin,Paperback,306,1999,1963,,2007/11/29,"scifi, satire, american","scifi (#51), satire (#10), american (#41)",read,,,,,,,0,,,,,
9593,Galápagos,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385333870""","=""9780385333870""",3,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,,2007/11/29,"american, satire","american (#35), satire (#9)",read,,,,,,,0,,,,,
4980,Breakfast of Champions,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385334206""","=""9780385334204""",3,4.08,Dell Publishing,Paperback,302,2009,1973,,2007/11/29,"satire, american","satire (#8), american (#34)",read,,,,,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385333846""","=""9780385333849""",5,4.05,Dial Press Trade Paperback,Paperback,215,1999,1969,2014/07/06,2007/11/29,"satire, american","satire (#7), american (#33)",read,,,,,,,0,,,,,
9589,Hocus Pocus,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0425161293""","=""9780425161296""",5,3.81,Berkley,Paperback,336,1997,1990,,2007/11/29,"american, satire","american (#31), satire (#6)",read,,,,,,,0,,,,,
222637,The Seven Daughters of Eve: The Science That Reveals Our Genetic Ancestry,Bryan Sykes,"Sykes, Bryan",,"=""0393020185""","=""9780393020182""",4,3.97,W. W. Norton & Company,Hardcover,320,2001,2001,2001/01/01,2007/11/29,biology,biology (#3),read,,,,,,,0,,,,,
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",5,4.35,Random House,Mass Market Paperback,384,2002,1980,,2007/11/29,physics,physics (#6),read,,,,,,,0,,,,,
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",4,4.11,Bantam Books,Paperback,212,1998,1987,1998/01/01,2007/11/29,physics,physics (#5),read,,,,,,,0,,,,,
33426,Hyperspace,Michio Kaku,"Kaku, Michio",,"=""0192861891""","=""9780192861894""",5,4.11,Oxford,Paperback,384,1998,1994,,2007/11/29,physics,physics (#4),read,,,,,,,0,,,,,
